symbol,type,entry,exit,pnl,reason,bars
AVAX-USD,B,8.752964973449707,8.723921775817871,-0.4645,timeout,48
AVAX-USD,B,8.80090618133545,8.779349327087402,-0.3429,timeout,48
AVAX-USD,B,8.896326065063477,8.8649263381958,-0.4941,timeout,48
AVAX-USD,B,8.772726058959961,8.728862428665161,-0.7,stop,26
AVAX-USD,B,8.62358283996582,8.581726021766663,-0.6795,stop,5
AVAX-USD,A,8.742034912109375,8.82945526123047,1.4,target,4
AVAX-USD,B,8.969576835632324,8.924728951454162,-0.7,stop,7
AVAX-USD,A,8.999424934387207,8.954427809715272,-0.7,stop,29
AVAX-USD,B,8.946072578430176,8.901342215538024,-0.7,stop,32
AVAX-USD,B,8.756889343261719,8.855629920959473,1.5786,target,7
AVAX-USD,B,8.900952339172363,8.963918685913086,0.9904,target,31
AVAX-USD,C,8.962635040283203,9.052261390686036,1.4,target,4
AVAX-USD,B,9.156404495239258,9.240072250366211,1.2793,target,34
AVAX-USD,B,9.131569862365723,9.085912013053894,-0.7,stop,30
AVAX-USD,B,9.078182220458984,9.03580693244934,-0.6535,stop,0
AVAX-USD,B,8.984905242919922,8.955096788406372,-0.4645,stop,0
AVAX-USD,B,8.68450927734375,8.671364784240723,-0.2119,timeout,48
LINK-USD,C,8.851653099060059,8.807394833564759,-0.7,stop,9
LINK-USD,B,8.797699928283691,8.76298318862915,-0.5525,stop,0
LINK-USD,B,9.086408615112305,9.040976572036744,-0.7,stop,5
LINK-USD,B,8.876419067382812,8.832211570739746,-0.6972,stop,15
LINK-USD,B,8.940237998962402,8.89553680896759,-0.7,stop,9
LINK-USD,B,8.804110527038574,8.760089974403382,-0.7,stop,14
LINK-USD,B,8.670293807983398,8.635094389915466,-0.5684,stop,30
LINK-USD,B,9.042582511901855,9.011623115539551,-0.4793,stop,0
LINK-USD,B,8.797280311584473,8.75329391002655,-0.7,stop,15
LINK-USD,B,8.739777565002441,8.821612358093262,1.3109,target,48
LINK-USD,B,9.115674018859863,9.070095648765564,-0.7,stop,8
LINK-USD,B,9.48033618927002,9.433405165672303,-0.693,stop,1
LINK-USD,B,9.425824165344238,9.382713661193847,-0.6403,stop,16
LINK-USD,B,9.259384155273438,9.21308723449707,-0.7,stop,23
LINK-USD,B,9.344829559326172,9.29810541152954,-0.7,stop,18
LINK-USD,B,9.207575798034668,9.252618789672852,0.6849,timeout,48
LINK-USD,B,8.775148391723633,8.792519569396973,0.2771,timeout,48
LINK-USD,B,8.668160438537598,8.624938249588013,-0.6981,stop,23
LINK-USD,B,8.668179512023926,8.637423005104065,-0.4967,stop,11
LINK-USD,B,8.609719276428223,8.579890837669373,-0.485,stop,9
LINK-USD,B,8.551676750183105,8.624286651611328,1.1887,target,9
LINK-USD,B,8.742918968200684,8.836631774902344,1.5006,target,21
LINK-USD,C,8.911622047424316,9.005059232711792,1.4679,target,44
LINK-USD,B,9.001529693603516,9.091779050827027,1.4036,target,20
LINK-USD,B,9.09488296508789,9.051582493782043,-0.6665,stop,5
LINK-USD,B,8.912638664245605,9.001765050888062,1.4,target,15
LINK-USD,B,8.994510650634766,8.949538097381591,-0.7,stop,0
LINK-USD,B,9.070687294006348,9.045817375183105,-0.3839,timeout,48
LINK-USD,B,8.947583198547363,9.037059030532838,1.4,target,13
LINK-USD,B,8.99835205078125,9.018816947937012,0.3184,timeout,48
LINK-USD,B,8.996563911437988,9.086529550552369,1.4,target,15
LINK-USD,C,9.282310485839844,9.236691269874573,-0.688,stop,13
LINK-USD,B,9.23231315612793,9.187627139091491,-0.6776,stop,47
LINK-USD,C,9.291940689086914,9.384860095977784,1.4,target,20
LINK-USD,B,9.391913414001465,9.3660480260849,-0.3856,stop,0
LINK-USD,B,9.13305377960205,9.087816467285156,-0.6934,stop,4
LINK-USD,B,9.093671798706055,9.048486213684082,-0.6956,stop,7
LINK-USD,B,8.983558654785156,9.023591995239258,0.6239,timeout,48
LINK-USD,B,9.131591796875,9.22290771484375,1.4,target,18
LINK-USD,B,9.203047752380371,9.29515721321106,1.4012,target,18
LINK-USD,B,9.269389152526855,9.223042206764221,-0.7,stop,12
LINK-USD,B,9.150636672973633,9.24214303970337,1.4,target,20
LINK-USD,B,9.68725299835205,9.656416091918945,-0.4457,stop,37
LINK-USD,A,9.7691650390625,9.720319213867187,-0.7,stop,7
LINK-USD,B,9.665912628173828,9.639578704833985,-0.3814,stop,0
LINK-USD,B,9.62656307220459,9.705916404724121,1.154,target,3
LINK-USD,B,9.90908432006836,9.86003897190094,-0.6929,stop,13
LINK-USD,B,9.770977973937988,9.862435340881348,1.3104,target,20
LINK-USD,B,9.868707656860352,9.820323462486266,-0.6864,stop,4
LINK-USD,B,9.795753479003906,9.89796257019043,1.4608,target,42
LINK-USD,B,9.840147018432617,9.80272979736328,-0.5324,stop,15
LINK-USD,C,9.839098930358887,9.79174621105194,-0.6738,stop,16
LINK-USD,B,9.205156326293945,9.212011337280273,0.1043,timeout,48
LINK-USD,B,9.032147407531738,9.132691440582276,1.5585,target,35
LINK-USD,C,9.109482765197754,9.063935351371764,-0.7,stop,29
LINK-USD,B,8.978271484375,9.06805419921875,1.4,target,32
LINK-USD,B,9.117594718933105,9.11794662475586,0.0054,timeout,48
LINK-USD,B,9.11489486694336,9.109114646911621,-0.0888,timeout,48
LINK-USD,C,8.849541664123535,8.93803708076477,1.4,target,14
LINK-USD,B,8.778608322143555,8.775102615356445,-0.0559,timeout,48
LINK-USD,C,8.731210708618164,8.687619180679322,-0.699,stop,44
LINK-USD,B,9.134498596191406,9.097957425117492,-0.56,stop,0
LINK-USD,B,9.092745780944824,9.048193950653076,-0.686,stop,1
LINK-USD,B,9.030878067016602,9.116412162780762,1.326,target,21
LINK-USD,B,9.242393493652344,9.197454957962035,-0.6807,stop,21
LINK-USD,B,9.370940208435059,9.442010879516602,1.0618,target,5
LINK-USD,B,9.412836074829102,9.365771894454957,-0.7,stop,4
LINK-USD,B,9.328378677368164,9.373292922973633,0.6741,timeout,48
LINK-USD,B,9.347626686096191,9.300888552665711,-0.7,stop,3
LINK-USD,C,8.963747024536133,8.92004515171051,-0.6826,stop,3
LINK-USD,B,8.905364990234375,8.921269416809082,0.25,timeout,48
LINK-USD,B,8.568281173706055,8.533353643417358,-0.5707,stop,20
LINK-USD,B,8.52049732208252,8.514924049377441,-0.0916,timeout,48
LINK-USD,B,8.563498497009277,8.527307214736938,-0.5917,stop,17
